"school","avgconc"
"Integrated Arts Acad At Ho Wheeler","40.0000000000000000"
"Patricia A. Hannaford Career Center","23.9194444444444444"
"Bridport Central School","6.2000000000000000"
"Vergennes Union Elementary School #44","2.8583333333333333"
"Vergennes Union High School #5","4.3500000000000000"
"Saint Paul's School","37.0625000000000000"
"St Albans City School","11.0709677419354839"
"Concord School","10.3090909090909091"
"Glover Community School",NULL
"Mt Holly School",NULL
"Main Street Middle School","6.9000000000000000"
"Cold Hollow Career Center","2.6250000000000000"
"Mary Hogan Elementary School","3.8818181818181818"
"Fairfield Center School","7.5083333333333333"
"Proctor Elementary School","13.9222222222222222"
"Newport Town School",NULL
"Troy Elementary School",NULL
"Putney Central School","4.9545454545454545"
"Early Essential Education/Burlington Preschool Program","2.7500000000000000"
"Riverside Middle School","7.3240000000000000"
"Central Elementary School",NULL
"Dover Elementary School","31.0400000000000000"
"Rick Marcotte Central School","5.6000000000000000"
"Swanton Schools",NULL
"Brighton Elementary School","47.1600000000000000"
"Marlboro Elementary School","67.5294117647058824"
"Twin Valley Elementary","332.0344827586206897"
"Brookfield Elementary School",NULL
"Elm Hill School",NULL
"Berkshire Elementary School","27.0900000000000000"
"J F Kennedy Elem School and Winooski Middle School and Winooski High School","6.5000000000000000"
"Derby Elementary School","13.5000000000000000"
"Sheldon Elementary School","18.7837837837837838"
"Hyde Park Elementary School","35.3750000000000000"
"Leland And Gray Uhs #34","21.4545454545454545"
"Shaftsbury Elementary","9.0055555555555556"
"Richford Elementary School","5.9333333333333333"
"Barton Graded School","3.5818181818181818"
"Bethel Elementary and White River Middle Schools","14.9458333333333333"
"Camels Hump Middle School","29.9041666666666667"
"Turning Points School",NULL
"Williston Schools","43.6222222222222222"
"Mill River Us #40","9.0500000000000000"
"Clarendon Elementary School","64.3846153846153846"
"West Rutland School","6.1434782608695652"
"Academy School","7.1388888888888889"
"Westminster Schools",NULL
"Montessori of Central Vermont","2.9500000000000000"
"St Albans Town Educ Center","7.3260869565217391"
"Blue Mountain Us #21","7.2250000000000000"
"Champlain Elementary School","18.4106382978723404"
"Pacem School","31.9250000000000000"
"Poultney High School","33.0741935483870968"
"Highgate Elementary School",NULL
"Rochester School","4.6200000000000000"
"Proctor Jr/sr High School","14.0000000000000000"
"Milton High School","17.0716216216216216"
"South Royalton Elementary and White River Valley High School","7.2000000000000000"
"Union Elementary School","3.4590909090909091"
"Rutland Town Elem School","60.6370370370370370"
"Newport City Elem Schools","11.4875000000000000"
"Wardsboro Elementary","4.4666666666666667"
"Canaan Schools","10.5689655172413793"
"Georgia Elem/middle School","12.8166666666666667"
"J J Flynn School","4.6555555555555556"
"Wallingford Village School","30.6500000000000000"
"Fletcher Elementary School",NULL
"Ludlow Elementary School","6.9956521739130435"
"Twin Valley Middle High School","21.7482758620689655"
"Middlebury Union High School","19.8272727272727273"
"U-32 Middle High School","79.2777777777777778"
"Twinfield Us #33","54.1964285714285714"
"Charlotte Central School","37.9166666666666667"
"Cabot School","40.3910447761194030"
"Northeast Primary School",NULL
"Warren Elementary School","18.9000000000000000"
"Bellows Free Academy Middle/Hs (Fairfax)","5.5095238095238095"
"Poultney Elementary School","52.7343750000000000"
"Waterford Elementary School","8.6866666666666667"
"Jamaica Village School","9.3000000000000000"
"Alburgh Community Education Center","10.2857142857142857"
"Bellows Falls Uhs #27","108.9198630136986301"
"Soar Learning Center","52.9125000000000000"
"CP Smith School","5.3782608695652174"
"The Arlington School","4.9800000000000000"
"Millers Run School Us #37",NULL
"Hardwick Elementary School","26.1666666666666667"
"Vernon Elementary School","15.2631578947368421"
"Rumney Memorial School (middlesex)","9.1000000000000000"
"Green Mountain Uhs #35","93.9031578947368421"
"Monument Elementary","18.9000000000000000"
"Oak Grove School","16.7296296296296296"
"Brownington Central School","9.7000000000000000"
"Cavendish Town Elementary","0.00000000000000000000"
"Fisher School","2.9000000000000000"
"Bradford Elementary School",NULL
"Enosburg Falls Elementary School","7.8055555555555556"
"Pownal Elementary","9.3961538461538462"
"Charleston Elem School","24.9833333333333333"
"Dummerston Schools","40.4906250000000000"
"Twin Valley Elementary School","212.0739130434782609"
"Chester Andover Us #29","11.0812500000000000"
"St Johnsbury School","4.7250000000000000"
"Lunenburg/gilman Schools","11.1269230769230769"
"Danville School","11.4409090909090909"
"Bellows Falls Middle School","57.0000000000000000"
"North Country Uhs #22b","120.5690322580645161"
"Hartford Mem Middle School","4.9153846153846154"
"Sustainability Academy At Lawrence Barnes",NULL
"North Hero School","2.2400000000000000"
"Union Street School","17.0000000000000000"
"Peacham Elementary School",NULL
"Green Street School",NULL
"Currier Memorial Us #23",NULL
